longitude,latitude,boug,isostatic,resboug
101,21.1,-109.89943,7.2160827,-96.984411
101.1,21.1,-112.10205,-16.035979,-100.37154
101.2,21.1,-113.14187,30.733306,-102.59587
101.3,21.1,-113.79638,4.8866444,-104.43488
101.4,21.1,-114.37086,-34.875627,-106.19387
101.5,21.1,-115.27375,-20.999121,-108.14444
101.6,21.1,-115.71669,7.1090437,-107.01753
101.7,21.1,-113.48193,12.142932,-103.21293
101.8,21.1,-110.18131,-1.0153206,-98.342458
101.9,21.1,-104.50717,-0.60354112,-91.09847
102,21.1,-98.395306,23.086846,-80.527686
102.1,21.1,-91.863036,-19.7575,-72.1206
102.2,21.1,-88.156802,-24.44865,-66.53955
102.3,21.1,-99.364626,-43.941893,-75.872557
102.4,21.1,-110.19032,-23.865215,-84.823435
102.5,21.1,-104.68017,-46.682239,-75.250888
102.6,21.1,-97.212609,-31.82498,-65.905583
102.7,21.1,-95.837791,-36.832174,-62.653021
102.8,21.1,-95.800249,-8.3554924,-60.737734
102.9,21.1,-97.056169,14.685018,-60.11591
103,21.1,-99.048008,27.248644,-59.570446
103.1,21.1,-102.76347,-21.58876,-61.000262
103.2,21.1,-107.49346,-11.87525,-63.444606
103.3,21.1,-115.64642,1.5810578,-69.311919
103.4,21.1,-121.40024,7.3596449,-72.780093
103.5,21.1,-112.17469,0.35025292,-61.721749
103.6,21.1,-100.70726,-15.949666,-49.178618
103.7,21.1,-92.398017,-38.2069,-39.793674
103.8,21.1,-86.403487,38.325654,-32.723443
103.9,21.1,-90.047367,-3.6102964,-35.291622
104,21.1,-95.211042,22.912157,-40.600374
104.1,21.1,-99.193422,-10.405084,-46.51817
104.2,21.1,-99.066161,-16.659835,-48.326325
104.3,21.1,-77.892194,9.6645278,-29.087773
104.4,21.1,-56.487281,-11.253374,-9.6182762
104.5,21.1,-56.066099,-25.163727,-10.629929
104.6,21.1,-58.602824,-3.0681258,-15.892955
104.7,21.1,-57.179124,-28.628019,-17.195557
104.8,21.1,-52.237649,53.905282,-14.980383
104.9,21.1,-30.945384,56.723303,3.5855806
105,21.1,-12.306275,5.0483182,20.308948
105.1,21.1,-23.658203,-14.029203,6.6049633
105.2,21.1,-37.311204,27.404634,-9.4000949
105.3,21.1,-32.459367,-30.1081,-6.900315
105.4,21.1,-26.16441,-19.670433,-2.9574152
105.5,21.1,-29.5765,-28.456849,-7.7461439
105.6,21.1,-33.834795,-32.603179,-14.217642
105.7,21.1,-33.466116,-32.45843,-16.062166
105.8,21.1,-31.605186,-30.709465,-16.41444
105.9,21.1,-26.438492,-25.542771,-13.460949
106,21.1,-21.51614,-20.732384,-10.183499
106.1,21.1,-21.47718,-21.02932,-10.669383
106.2,21.1,-21.91805,-21.358224,-11.635097
106.3,21.1,-19.93653,-19.600635,-10.178421
106.4,21.1,-17.772992,-14.637969,-8.5397265
106.5,21.1,-17.104149,-16.656289,-9.140246
106.6,21.1,-16.405224,-4.5369216,-8.2179659
106.7,21.1,-13.946223,3.9681958,-5.5356098
106.8,21.1,-12.294071,-4.680443,-3.6601027
106.9,21.1,-16.473957,4.6874502,-7.6166336
107,21.1,-19.801687,6.7340458,-11.506813
96,21.2,-43.882752,-27.64781,-17.77548
96.1,21.2,-37.425152,-25.108989,-10.032846
96.2,21.2,-29.007981,17.457543,-0.33063968
96.3,21.2,-35.816689,-11.968119,-5.8543128
96.4,21.2,-45.228054,106.93254,-13.790813
96.5,21.2,-49.961124,98.392656,-17.049019
96.6,21.2,-55.846743,119.93849,-21.680391
96.7,21.2,-71.164666,61.961859,-35.744067
96.8,21.2,-86.138757,27.057977,-49.463911
96.9,21.2,-93.113498,43.81984,-55.38072
97,21.2,-98.507277,30.588503,-59.716568
97.1,21.2,-99.667134,-7.7437727,-60.640124
97.2,21.2,-98.547931,1.3249537,-59.28462
97.3,21.2,-92.250198,30.799466,-52.750587
97.4,21.2,-86.746073,72.468324,-46.800821
97.5,21.2,-94.179716,57.085158,-53.788822
97.6,21.2,-103.06325,41.707647,-63.118865
97.7,21.2,-104.63291,2.2937771,-65.135034
97.8,21.2,-105.28639,7.1265878,-66.235023
97.9,21.2,-107.4437,7.2085801,-68.967567
98,21.2,-109.81436,-6.3585916,-71.913462
98.1,21.2,-113.2481,-11.359843,-75.822191
98.2,21.2,-114.28341,-11.163537,-77.33249
98.3,21.2,-103.96724,27.815703,-67.49131
98.4,21.2,-92.719561,-23.861014,-56.963444
98.5,21.2,-89.387504,-13.027294,-54.351199
98.6,21.2,-86.980232,3.1516875,-51.773077
98.7,21.2,-73.927781,-37.539118,-38.549775
98.8,21.2,-65.211529,0.17609952,-29.662673
98.9,21.2,-94.131398,14.026905,-58.767436
99,21.2,-124.80593,12.911164,-89.626862
99.1,21.2,-126.69819,-11.598049,-91.42952
99.2,21.2,-125.40941,48.920278,-90.051138
99.3,21.2,-132.81375,-12.115354,-97.365877
99.4,21.2,-140.3072,5.695313,-106.43223
99.5,21.2,-144.82877,46.631581,-112.5267
99.6,21.2,-147.18945,-32.425205,-115.36455
99.7,21.2,-138.21786,-21.102347,-106.87014
99.8,21.2,-129.30571,51.62992,-98.435158
99.9,21.2,-135.66509,55.3474,-107.76777
100,21.2,-141.0655,0.57037342,-116.14141
100.1,21.2,-127.15708,26.347096,-103.74238
100.2,21.2,-111.37053,31.72089,-89.465216
100.3,21.2,-103.6033,1.5319452,-83.207375
100.4,21.2,-98.343522,-36.986638,-79.624537
100.5,21.2,-97.414001,5.8178372,-80.371957
100.6,21.2,-96.721604,50.62449,-81.442285
100.7,21.2,-90.825207,-26.893125,-77.308613
100.8,21.2,-86.632165,7.1946033,-74.878296
100.9,21.2,-99.327497,26.521295,-89.88576
101,21.2,-112.91158,60.970247,-105.78198
101.1,21.2,-113.32154,-27.78019,-107.37644
101.2,21.2,-111.71001,-35.12587,-106.94942
101.3,21.2,-111.27752,22.744725,-107.70144
101.4,21.2,-111.27088,0.91816757,-108.74248
101.5,21.2,-113.80866,-20.317787,-112.32794
101.6,21.2,-115.84253,27.920681,-112.79196
101.7,21.2,-110.82942,-10.17278,-106.209
101.8,21.2,-104.7458,21.998713,-98.555534
101.9,21.2,-101.2322,3.6791149,-90.583014
102,21.2,-97.764541,12.633065,-82.656435
102.1,21.2,-92.089761,2.8566585,-75.106838
102.2,21.2,-89.792403,-8.0578673,-70.934664
102.3,21.2,-108.3229,4.2020429,-87.590345
102.4,21.2,-125.10198,2.5382538,-100.30703
102.5,21.2,-111.87929,-11.44658,-83.021941
102.6,21.2,-96.17434,22.84458,-65.439246
102.7,21.2,-95.213287,-28.929938,-62.600449
102.8,21.2,-96.816577,-32.99646,-62.325995
102.9,21.2,-102.50837,31.066015,-65.480485
103,21.2,-108.35138,-16.092123,-68.786192
103.1,21.2,-107.82616,18.470492,-65.975325
103.2,21.2,-107.89471,-18.994407,-63.758229
103.3,21.2,-114.24985,0.40243015,-67.827723
103.4,21.2,-118.4,-37.785116,-70.145078
103.5,21.2,-107.4988,-35.393264,-57.411084
103.6,21.2,-95.520792,5.1358485,-44.357375
103.7,21.2,-93.200809,-36.77039,-40.961691
103.8,21.2,-92.503878,42.526054,-39.189059
103.9,21.2,-92.91767,27.220901,-39.747928
104,21.2,-92.357829,-5.5848631,-39.333163
104.1,21.2,-80.048266,-16.228149,-28.959016
104.2,21.2,-65.838658,3.9156101,-16.684824
104.3,21.2,-53.682693,-7.88896,-6.4642747
104.4,21.2,-42.484872,-4.8645926,3.3007113
104.5,21.2,-40.999664,-6.9622683,3.3530843
104.6,21.2,-41.963101,-18.898287,-0.336654
104.7,21.2,-50.116399,51.323997,-11.216253
104.8,21.2,-55.83646,34.51939,-19.662616
104.9,21.2,-38.471293,2.5079399,-4.2131898
105,21.2,-22.130799,0.15025935,10.211563
105.1,21.2,-30.268593,-17.50457,-0.27828814
105.2,21.2,-40.666357,-20.624601,-13.028109
105.3,21.2,-39.628278,-37.165045,-14.342087
105.4,21.2,-37.387652,-36.044071,-13.4781
105.5,21.2,-37.450617,-35.99507,-14.917704
105.6,21.2,-37.345029,-35.889482,-17.025319
105.7,21.2,-32.667406,-31.547755,-14.560899
105.8,21.2,-27.101644,-25.758063,-11.208341
105.9,21.2,-22.316848,-21.421127,-8.0684463
106,21.2,-18.560972,-17.889181,-5.957472
106.1,21.2,-22.095024,-21.311268,-10.016368
106.2,21.2,-25.88275,-21.628076,-14.328938
106.3,21.2,-22.998873,-22.551013,-11.969905
106.4,21.2,-19.238158,-16.2151,-9.4785524
106.5,21.2,-16.215898,6.0651603,-7.7256549
106.6,21.2,-13.212443,3.5823246,-4.4988448
106.7,21.2,-9.8011389,10.352582,-0.86418556
106.8,21.2,-8.1385911,8.7681416,1.0217173
106.9,21.2,-17.256796,12.973786,-8.6589368
107,21.2,-25.224188,-6.9738739,-17.188778
96,21.3,-41.606754,-28.6188,-15.882937
96.1,21.3,-36.078838,-24.770361,-9.0699859
96.2,21.3,-28.383811,-15.507823,-0.08992408
96.3,21.3,-29.823254,-8.1020212,-0.05450276
96.4,21.3,-34.490026,94.381824,-3.2464104
96.5,21.3,-46.06179,50.116246,-13.34331
96.6,21.3,-58.887724,28.221137,-24.914997
96.7,21.3,-70.276384,93.752513,-35.04941
96.8,21.3,-80.452806,45.060091,-44.1679
96.9,21.3,-85.816641,17.751093,-48.473804
97,21.3,-90.126855,15.344286,-51.726086
97.1,21.3,-94.496204,-4.1403543,-55.859135
97.2,21.3,-96.85264,4.8116865,-57.97927
97.3,21.3,-89.467016,22.610066,-50.148005
97.4,21.3,-82.858109,31.346311,-43.093457
97.5,21.3,-91.473369,48.035167,-51.263075
97.6,21.3,-101.44348,19.254916,-61.679695
97.7,21.3,-103.40416,3.5225271,-64.086884
97.8,21.3,-104.31745,9.1032139,-65.575408
97.9,21.3,-107.01458,16.147049,-68.847773
98,21.3,-109.99414,7.9051285,-72.402567
98.1,21.3,-114.01524,-4.1774599,-76.898657
98.2,21.3,-115.54126,-4.5838287,-78.899666
98.3,21.3,-104.2262,-3.3456293,-68.304419
98.4,21.3,-92.197113,-27.817171,-56.995145
98.5,21.3,-89.515573,-15.842526,-55.033417
98.6,21.3,-88.050115,4.9928975,-53.397109
98.7,21.3,-81.176895,-13.214069,-46.353038
98.8,21.3,-77.652139,2.8507804,-43.013176
98.9,21.3,-95.863203,42.301752,-61.409134
99,21.3,-116.49766,-16.624775,-82.228485
99.1,21.3,-128.04247,-43.284876,-93.683694
99.2,21.3,-136.04263,19.588883,-101.59425
99.3,21.3,-134.67481,-38.160879,-101.79933
99.4,21.3,-132.64772,44.36913,-101.34515
99.5,21.3,-137.93408,-13.87673,-108.20441
99.6,21.3,-142.98267,-54.306297,-113.73017
99.7,21.3,-140.11493,-43.265104,-111.3396
99.8,21.3,-136.53473,61.979423,-110.73263
99.9,21.3,-138.05755,-14.895921,-115.22868
100,21.3,-138.83393,-28.660255,-118.97829
100.1,21.3,-131.69434,-31.48556,-113.34809
100.2,21.3,-122.22433,15.492764,-105.38747
100.3,21.3,-108.05382,148.79416,-92.893902
100.4,21.3,-96.213952,40.159561,-82.730975
100.5,21.3,-101.51082,-16.641261,-89.704783
100.6,21.3,-107.28767,6.6928194,-97.244358
100.7,21.3,-97.411302,-11.198162,-89.130715
100.8,21.3,-88.080646,-25.940006,-82.112191
100.9,21.3,-96.684852,-13.27084,-93.028529
101,21.3,-107.16267,-8.0735412,-105.81848
101.1,21.3,-109.8097,4.730615,-109.65002
101.2,21.3,-110.33236,-33.412324,-111.35719
101.3,21.3,-106.35797,-37.499423,-108.43047
101.4,21.3,-102.88561,-6.1477486,-106.00579
101.5,21.3,-107.25579,21.1682,-111.42365
101.6,21.3,-111.98662,27.633881,-114.58464
101.7,21.3,-111.01098,-23.566223,-112.03915
101.8,21.3,-108.74324,21.920052,-105.31249
101.9,21.3,-105.39253,-1.1530058,-97.502857
102,21.3,-102.30039,-21.12568,-89.951797
102.1,21.3,-101.667,-4.7052084,-87.443591
102.2,21.3,-104.23966,-8.3975196,-88.141434
102.3,21.3,-121.16222,-5.8381491,-101.0016
102.4,21.3,-135.16821,-18.276628,-110.94519
102.5,21.3,-118.8859,3.9398337,-90.600483
102.6,21.3,-100.84482,-0.41210975,-70.681659
102.7,21.3,-105.01602,-20.258426,-72.975115
102.8,21.3,-110.68544,-23.576579,-76.107232
102.9,21.3,-102.76377,-42.190642,-65.648258
103,21.3,-95.24145,-41.610159,-55.588635
103.1,21.3,-102.4331,35.84382,-60.494639
103.2,21.3,-111.14741,5.4082771,-66.923303
103.3,21.3,-112.22946,25.263704,-66.172558
103.4,21.3,-110.64156,-31.258292,-62.751864
103.5,21.3,-103.22016,20.38933,-53.497669
103.6,21.3,-96.10758,35.115538,-45.309388
103.7,21.3,-98.676061,1.4207539,-46.802168
103.8,21.3,-101.25242,12.504139,-49.523604
103.9,21.3,-93.583858,-16.775788,-42.000118
104,21.3,-84.754609,-13.096934,-33.315946
104.1,21.3,-79.45923,8.9932127,-29.955982
104.2,21.3,-74.787731,-50.155405,-27.219899
104.3,21.3,-70.550093,45.333803,-24.415096
104.4,21.3,-65.811419,123.1857,-21.109257
104.5,21.3,-58.831002,96.688546,-15.561675
104.6,21.3,-52.018678,42.703811,-11.475652
104.7,21.3,-49.556039,8.4418918,-11.739315
104.8,21.3,-46.983594,-6.7881169,-11.082611
104.9,21.3,-39.580217,-8.3419493,-5.5949752
105,21.3,-32.827133,6.5845883,-0.7576324
