longitude,latitude,depth,density,variance
96.5,24.5,2.5,2.6067527,0.0078737314
97.0,24.5,2.5,2.6451635,0.0078126627
97.5,24.5,2.5,2.672356,0.007802736
98.0,24.5,2.5,2.6705654,0.0077973317
98.5,24.5,2.5,2.6897638,0.00779518
99.0,24.5,2.5,2.6440659,0.0077941179
99.5,24.5,2.5,2.6417784,0.0077936606
100.0,24.5,2.5,2.6523738,0.0077934248
100.5,24.5,2.5,2.6475923,0.0077933207
101.0,24.5,2.5,2.675558,0.0077932708
101.5,24.5,2.5,2.6530375,0.007793258
102.0,24.5,2.5,2.6377134,0.0077932707
102.5,24.5,2.5,2.6607346,0.0077933203
103.0,24.5,2.5,2.6718212,0.0077934244
103.5,24.5,2.5,2.6455858,0.007793659
104.0,24.5,2.5,2.6557795,0.0077941165
104.5,24.5,2.5,2.6521881,0.0077951754
105.0,24.5,2.5,2.6365467,0.007797332
105.5,24.5,2.5,2.6538239,0.0078027404
106.0,24.5,2.5,2.6514433,0.0078127414
106.5,24.5,2.5,2.6552735,0.0078740048
107.0,24.5,2.5,2.6549111,0.0086409238
96.0,25.0,2.5,2.6654913,0.0086351494
96.5,25.0,2.5,2.6351441,0.0078680437
97.0,25.0,2.5,2.6433102,0.0078069627
97.5,25.0,2.5,2.6082117,0.0077969069
98.0,25.0,2.5,2.6525678,0.0077915208
98.5,25.0,2.5,2.6677181,0.0077893831
99.0,25.0,2.5,2.6472785,0.0077883407
99.5,25.0,2.5,2.6358315,0.0077878937
100.0,25.0,2.5,2.6297531,0.0077876659
100.5,25.0,2.5,2.6344461,0.0077875654
101.0,25.0,2.5,2.6773057,0.0077875177
101.5,25.0,2.5,2.6625726,0.0077875053
102.0,25.0,2.5,2.6620549,0.0077875176
102.5,25.0,2.5,2.6603549,0.007787565
103.0,25.0,2.5,2.6693943,0.0077876654
103.5,25.0,2.5,2.6585676,0.0077878922
104.0,25.0,2.5,2.6373074,0.0077883394
104.5,25.0,2.5,2.6565347,0.0077893789
105.0,25.0,2.5,2.6434796,0.0077915218
105.5,25.0,2.5,2.6697198,0.0077969128
106.0,25.0,2.5,2.659868,0.0078070458
106.5,25.0,2.5,2.6509747,0.007868328
107.0,25.0,2.5,2.614358,0.0086365514
96.0,25.5,2.5,2.6149945,0.0086308395
96.5,25.5,2.5,2.6709678,0.0078624751
97.0,25.5,2.5,2.6675062,0.0078013881
97.5,25.5,2.5,2.6607579,0.0077911903
98.0,25.5,2.5,2.6758159,0.0077858051
98.5,25.5,2.5,2.6535536,0.0077836683
99.0,25.5,2.5,2.6726241,0.007782636
99.5,25.5,2.5,2.647509,0.0077821941
100.0,25.5,2.5,2.6563089,0.0077819709
100.5,25.5,2.5,2.6491518,0.0077818726
101.0,25.5,2.5,2.6423442,0.0077818263
101.5,25.5,2.5,2.6400213,0.0077818142
102.0,25.5,2.5,2.6602551,0.0077818262
102.5,25.5,2.5,2.6538114,0.0077818722
103.0,25.5,2.5,2.6280415,0.0077819705
103.5,25.5,2.5,2.668214,0.0077821926
104.0,25.5,2.5,2.6462569,0.0077826348
104.5,25.5,2.5,2.6544161,0.0077836642
105.0,25.5,2.5,2.6414458,0.0077858064
105.5,25.5,2.5,2.6417128,0.0077911969
106.0,25.5,2.5,2.6511254,0.0078014741
106.5,25.5,2.5,2.6352718,0.0078627678
107.0,25.5,2.5,2.6213078,0.0086322664
96.0,26.0,2.5,2.6373864,0.0086265279
96.5,26.0,2.5,2.6839066,0.0078568694
97.0,26.0,2.5,2.6208004,0.0077957704
97.5,26.0,2.5,2.6393228,0.0077854258
98.0,26.0,2.5,2.725894,0.007780039
98.5,26.0,2.5,2.597663,0.0077779013
99.0,26.0,2.5,2.5755577,0.0077768769
99.5,26.0,2.5,2.6044301,0.0077764389
100.0,26.0,2.5,2.6554832,0.0077762194
100.5,26.0,2.5,2.6386533,0.0077761227
101.0,26.0,2.5,2.6418257,0.0077760776
101.5,26.0,2.5,2.6281171,0.0077760657
102.0,26.0,2.5,2.6098817,0.0077760775
102.5,26.0,2.5,2.6348552,0.0077761223
103.0,26.0,2.5,2.6410597,0.007776219
103.5,26.0,2.5,2.6521248,0.0077764374
104.0,26.0,2.5,2.6388335,0.0077768757
104.5,26.0,2.5,2.6225362,0.0077778972
105.0,26.0,2.5,2.6423294,0.0077800404
105.5,26.0,2.5,2.6356539,0.0077854328
106.0,26.0,2.5,2.6588372,0.0077958588
106.5,26.0,2.5,2.6439912,0.0078571698
107.0,26.0,2.5,2.6384852,0.0086279775
96.0,26.5,2.5,2.6321487,0.0086221881
96.5,26.5,2.5,2.6670555,0.0078512282
97.0,26.5,2.5,2.6386414,0.0077901209
97.5,26.5,2.5,2.647268,0.0077796248
98.0,26.5,2.5,2.6939918,0.0077742321
98.5,26.5,2.5,2.6262251,0.0077720896
99.0,26.5,2.5,2.6582248,0.00777107
99.5,26.5,2.5,2.6252677,0.0077706335
100.0,26.5,2.5,2.663349,0.0077704163
100.5,26.5,2.5,2.622138,0.0077703205
101.0,26.5,2.5,2.6466647,0.007770276
101.5,26.5,2.5,2.6448413,0.0077702642
102.0,26.5,2.5,2.6367959,0.0077702759
102.5,26.5,2.5,2.6250621,0.0077703201
103.0,26.5,2.5,2.6180989,0.0077704159
103.5,26.5,2.5,2.6454649,0.007770632
104.0,26.5,2.5,2.6248965,0.0077710687
104.5,26.5,2.5,2.6396305,0.0077720854
105.0,26.5,2.5,2.6330041,0.0077742332
105.5,26.5,2.5,2.6328161,0.0077796317
106.0,26.5,2.5,2.6365997,0.0077902109
106.5,26.5,2.5,2.6365286,0.0078515354
107.0,26.5,2.5,2.6321259,0.0086236587
96.0,27.0,2.5,2.647029,0.0086178065
96.5,27.0,2.5,2.7135471,0.007845517
97.0,27.0,2.5,2.6626302,0.0077843986
